Wavelength (nm)	Z	E	HL
265.0	5569.296129245797	7380.258454964208	3675.3217884823976
266.0	5652.4603680708915	7498.558659523904	3247.922236900108
267.0	5723.180896508056	7599.176534423192	2928.2229919466413
268.0	5785.0857068332925	7687.925949675466	2674.1622910080187
269.0	5840.160730351272	7768.016381975062	2459.1197757505597
270.0	5882.0097957083435	7830.267210841032	2291.9773065446466
271.0	5914.842040622728	7881.132783715865	2144.070071703516
272.0	5934.944489684084	7914.797182278579	2023.6948143741427
273.0	5944.351976130007	7934.624799842398	1911.9299844799991
274.0	5942.000928708405	7938.7168451529315	1817.616684773063
275.0	5928.496394368014	7928.587580744204	1732.3384741652644
276.0	5901.99974285107	7902.804859512322	1650.0720310540653
277.0	5865.187897100138	7864.454955325355	1578.6334716622098
278.0	5814.010467525634	7809.740833419232	1509.4588592689465
279.0	5754.225153053994	7744.8933718520775	1449.1707876148166
280.0	5680.161710462735	7663.2035217699095	1391.1119229578194
281.0	5600.88302325118	7573.818301553866	1341.1752763299467
282.0	5509.439339196199	7467.625934186311	1293.2103310619368
283.0	5417.318445789657	7356.604245981656	1252.3251477107858
284.0	5316.420845925511	7229.372259872391	1213.3071469681993
285.0	5219.243868122211	7100.55330097398	1180.4841477370367
286.0	5116.867167941381	6957.506127006368	1150.5445828521563
287.0	5021.696497248139	6817.143095496161	1125.9505112123027
288.0	4924.425332856863	6666.008332194408	1104.2523359339975
289.0	4836.105328447843	6521.848362084151	1087.8633063562067
290.0	4747.6159988067775	6370.427162971681	1074.172772542051
291.0	4668.376140096256	6229.028408940455	1064.9784086451218
292.0	4589.418657996349	6083.262817897169	1059.9174362964814
293.0	4515.039138586037	5942.2005859134815	1058.9404342164269
294.0	4448.286992845371	5813.582241738612	1061.8991385658533
295.0	4381.175958200222	5683.454644951593	1069.5125478759708
296.0	4320.422357984321	5565.837522479624	1080.6113239407687
297.0	4258.599371398855	5447.539321107247	1096.5277074054832
298.0	4198.814972693735	5335.344398201273	1116.7003954457261
299.0	4143.737568182789	5234.678242252768	1139.6638778283925
300.0	4086.9197035864768	5134.15715499012	1168.175233169684
301.0	4034.2104713312888	5044.24304820066	1198.5634448300282
302.0	3979.734038607985	4954.857407282489	1234.2687972280773
303.0	3926.3296937655	4870.756651938802	1273.915290404729
304.0	3876.7333808995177	4795.744470215275	1314.5575924926775
305.0	3825.4726165704624	4721.225364342233	1360.8653031215556
306.0	3775.236182897518	4651.003291196291	1411.2860620546335
307.0	3728.5428499429036	4588.122008021813	1462.5881813684414
308.0	3680.152922119895	4525.237968983851	1520.4543684744006
309.0	3632.612413545089	4465.595689036118	1582.494491356393
310.0	3588.2573530689383	4411.752558309126	1644.8958846465637
311.0	3542.091135331027	4357.4125972993	1714.5479088779175
312.0	3496.5395800904585	4305.425839887652	1788.6782351142058
313.0	3453.9526816372922	4258.030863157292	1862.702065178978
314.0	3409.6815969522627	4209.795495339469	1944.8268026577289
315.0	3366.217439948267	4163.190769580143	2030.9488168879452
316.0	3323.748034341357	4118.020800021375	2121.085861973551
317.0	3284.6506184759883	4076.5276891114568	2210.4571048404887
318.0	3244.89490383796	4033.9771236691613	2308.930000470274
319.0	3207.027911887074	3992.5724431951503	2411.784404096035
320.0	3171.4287241798847	3952.2776189273823	2518.9246455663647
321.0	3140.1660115273676	3915.0729499394906	2623.8779598447613
322.0	3110.147505075677	3876.7955446483343	2738.2925470729965
323.0	3083.565595694456	3839.5715451674632	2856.70379933276
324.0	3060.7997312468897	3803.523069735823	2979.0391211173337
325.0	3042.280276215433	3768.744701337132	3105.522103173151
326.0	3029.063796238164	3737.002195023398	3228.821765857898
327.0	3019.960161128081	3704.9868840001295	3362.397640469945
328.0	3016.144757230996	3674.52083772444	3499.183266444332
329.0	3017.943505856199	3645.7390571455235	3638.7537402744247
330.0	3025.7027041183733	3618.8314259954	3781.268109141274
331.0	3039.6603139512504	3594.100967317656	3926.100455524944
332.0	3058.9366958110195	3572.81850383039	4065.2550451607794
333.0	3085.996864264386	3552.8805994235768	4213.75519309789
334.0	3120.1580695722605	3535.976975372735	4363.784541270749
335.0	3161.6871203141923	3522.1850001564458	4515.008806078223
336.0	3210.8576933187255	3511.7873521282904	4667.117902421353
337.0	3267.970572103824	3505.195430433664	4820.088542264789
338.0	3333.222417532556	3502.483513066892	4973.413880083694
339.0	3406.7945055902446	3503.9975591371635	5127.012798970531
340.0	3488.9472344907035	3510.106226258118	5280.809189585502
341.0	3574.8666485086546	3520.2083844318468	5425.943270379784
342.0	3674.3493432901396	3535.810662175773	5578.7189565050085
343.0	3783.187508978428	3556.74338697776	5730.787167195341
344.0	3901.625609449673	3583.232741108031	5881.9260188297085
345.0	4029.695376014251	3615.554851978348	6031.878432552191
346.0	4167.299508477962	3653.7517681844997	6179.382031823662
347.0	4314.781922962513	3698.2443221524977	6324.780048427469
348.0	4472.476736887635	3749.0340044886157	6467.640110183438
349.0	4640.565180450352	3806.3470626857547	6607.380855543967
350.0	4819.304629834887	3870.393761022681	6744.2497892368265
351.0	5008.839409846958	3941.3070507546263	6877.671467749067
