Wavelength (nm)	Z cut-epsilon	E cut-epsilon	HL cut-epsilon
446.0	11297.830213039164	9378.07534060775	1132.7371011563318
447.0	10719.55304798682	9028.917189914911	1076.9005529300757
448.0	10137.679485632474	8676.788870616909	1036.7742942032226
449.0	9557.476564912444	8316.534266678049	986.2683837728521
450.0	9012.328513534918	7963.021701484217	935.5306428262584
451.0	8467.303252258509	7611.38730741984	896.6498036161088
452.0	7942.37937082815	7267.189038503975	852.2634964420064
453.0	7433.219901883733	6916.241192237794	816.9674635521089
454.0	6952.016841406022	6580.275995073603	778.9158827565014
455.0	6481.644516767207	6242.261029674694	731.3406991902026
456.0	6041.012295310811	5920.017027933054	686.8092480559133
457.0	5617.764439809376	5599.455720652844	689.8500317947577
458.0	5211.749830315944	5288.891470873671	649.8592439518816
459.0	4839.516488178537	4994.416455241647	619.9982320568897
460.0	4498.921779000415	4721.2799506817	607.0210268782405
461.0	4165.437947948005	4442.648995453747	567.7379637969665
462.0	3857.989956199512	4187.360787933455	549.8452112188155
463.0	3538.7604705097724	3907.5305290584583	533.1002204340579
464.0	3249.9351212556967	3652.6309697405177	533.0009688123258
465.0	3000.30633944005	3424.3587092945677	527.143639581258
466.0	2771.1683559185026	3204.882351764176	499.0311861024239
467.0	2566.7714076071393	3006.4226201992888	491.0935921418984
468.0	2347.732365985892	2799.5010537246944	491.248677624337
469.0	2161.6020471812963	2609.3464602797676	448.8700224797519
470.0	1995.9590426936975	2437.6219173957206	409.6095048715804
471.0	1828.653006465635	2267.253780146054	386.0213765016248
472.0	1670.0925892873947	2100.2969764284367	383.35436227919473
473.0	1526.9813067495504	1944.953160770952	380.5321105523714
474.0	1408.7219568044527	1803.068229312399	363.8532098356835
475.0	1290.5161354917157	1676.4080217529583	350.3332104639803
476.0	1182.2226286739783	1544.4914103423487	346.71944636593673
477.0	1091.1156370299739	1441.4010903258304	333.66897367748163
478.0	996.8465714207548	1331.602631777334	278.0058456764109
479.0	918.8533882776753	1231.9792970015483	272.06430903915106
480.0	842.3460659418012	1142.0104165981381	267.6847113350992
481.0	771.5956399981959	1052.787382734721	263.58079041500565
482.0	716.1093956347916	981.5986936129999	248.84896178978335
483.0	659.549085028577	909.4687836937809	255.48743792916554
484.0	604.8128607108066	839.777291142477	263.1626112591625
485.0	538.0871535309382	767.8488423397113	275.56421926072
486.0	475.0972570993431	673.2445474302058	192.98999471997203
487.0	504.20896476890994	680.6559681209515	202.26522290128258
488.0	478.9991403240998	665.4019914527017	237.45943859075544
489.0	412.98598014893605	591.8011390819473	216.23084784270674
490.0	377.50524144762136	547.8297259475713	209.06559535003709
491.0	353.43188094753475	516.8384138247898	185.64828709838778
492.0	326.2956132689532	483.20184338192865	175.52725903513627
493.0	303.45478718671325	449.67237500737184	180.45422152951483
494.0	282.1567781216364	421.66857351775667	161.81614646739092
495.0	263.8858114689924	396.54903783558274	151.798860480749
496.0	240.98610132903298	372.09495392790643	172.93435086461255
497.0	224.43047203280062	346.3559811469082	156.0005031950155
498.0	215.2529396870927	337.45332652287635	150.34772878330404
499.0	194.33337608246904	312.5253802335692	133.22948732438587
500.0	186.99456040146706	296.9562980602215	110.98109224955235
501.0	176.8740824627796	285.62492989736245	132.400114889177
502.0	160.9868099544429	269.64850915911103	128.99898088176693
503.0	153.65038155539386	256.62642662856507	125.56365718033015
504.0	146.57188157349373	247.00091554924592	128.43458617226213
505.0	139.85374377836524	234.60002405458968	126.10185340252934
506.0	133.72852605466463	229.25844628675452	91.95395086718413
507.0	125.46239112933033	217.61179904137893	100.19664936570923
508.0	119.93615189852531	214.27022288426053	96.95610054418881
509.0	110.38363267345309	199.03717101700022	90.39033571304515
510.0	108.0045065140035	198.5723943194472	102.80038450341912
511.0	100.33728426357125	185.67293016539583	109.99417690752077
512.0	100.97451210727701	185.0392443343814	103.39562494640225
513.0	93.67240079050815	176.02725263139334	99.69176563575628
514.0	86.96950591644683	172.16335760089783	86.49902946197157
515.0	86.0781820460505	164.71057760188722	79.11743068828643
516.0	83.95343286035296	165.329569651032	82.51654793773312
517.0	75.21182146454599	155.44157275900815	80.16603489592333
518.0	74.16078433228934	153.75843069704837	86.66284588685872
519.0	70.5587095226007	149.40497930372058	87.14570386925324
520.0	65.64367507346957	143.31104924044422	78.2862041644541
521.0	62.255429155085956	143.40896064313867	76.916255177847
522.0	62.66927503497834	140.35719596828534	71.31368851792291
523.0	55.408179265096194	129.2449129894394	67.08103717680805
524.0	54.787092743076286	129.54315517877941	68.4182489845809
525.0	46.777305239656414	117.99159712829513	66.74595345675597
526.0	46.768204119993726	118.57706819186467	67.09049046992143
527.0	39.243802152671144	113.85368836681283	63.26447527380187
528.0	34.77602131455273	110.1466578822848	60.165807475017516
529.0	33.13402306135786	103.65657413417382	54.66718509457833
530.0	31.56792063057108	102.04184883019771	53.819830622133466
531.0	29.233329567787003	98.40354575982924	54.61624565329305
532.0	26.579887163739727	94.90076938432689	50.15883199838937
533.0	23.23272422325264	93.87426623850425	53.84645542751467
534.0	16.488701487548703	82.11969332901546	45.99031674683619
535.0	15.600285404242184	79.46569891488113	49.586476047995276
536.0	13.714146430025147	76.8978456296172	41.25367993708697
537.0	10.037733710277465	78.34885888887779	38.550935332948434
538.0	6.4159321536355876	76.11221530443873	46.16839400504233
539.0	5.487175798636328	70.53936606104747	36.61944085929704
540.0	-1.8844473509437216	62.84588726076194	34.53740565440708
541.0	-4.12268922891112	61.928655068831745	35.75111179143789
542.0	-3.8303322333956253	61.02938551928818	32.672130474356315
543.0	-7.797043033504815	55.1781520150411	27.10812538792185
544.0	-5.941670768983323	57.879916444530984	27.128028400156683
545.0	-8.905243189189887	53.45384935592192	25.942388284621344
546.0	-10.128884930289699	54.738602421869615	29.271448416639505
547.0	-15.656251739983889	49.06546621004136	34.73885606597247
548.0	-17.184433032157568	45.95134005582448	39.642250596359204
549.0	-16.648113467989486	43.647933568837225	32.292718342174105
550.0	-18.306669550723793	42.40158758904599	26.367142204691184
551.0	-19.946850907816753	40.03213698753745	25.043288191671174
552.0	-23.0041164359903	35.348954091768036	27.088039724667578
553.0	-22.812585805276424	34.525123926477306	28.679725244233865
554.0	-22.459357657593504	32.094379848325396	28.874795708243642
555.0	-19.25109586173097	36.69424436235217	35.809928645966586
556.0	-23.324549854183477	29.935620420195512	24.960956584134884
557.0	-21.57331836393435	30.585275254028648	24.94149466703119
558.0	-24.38711568397264	26.32522712469955	20.332939774911644
559.0	-24.222131554816585	24.042709528886537	18.991427328133526
