Wavelength (nm)	355 nm LED	375 nm LED	405 nm LED	420 nm LED	450 nm LED	470 nm LED	490 nm LED
257.0	-7.151076132212447e-06	6.198918382727336e-05	4.4383825999777086e-05	6.996467813113243e-05	3.706324165047896e-05	-7.387645235166735e-05	3.0110034138499022e-05
258.0	5.623987065528039e-06	3.89174579131089e-05	-6.711069846947963e-05	3.5710500284864895e-05	-4.694922984256416e-06	4.397202055099568e-05	9.45854449227015e-05
259.0	-1.573432171819373e-05	6.728944518592644e-05	-7.031781677062467e-05	1.6445322069851061e-06	-5.4291189718715265e-05	1.430387352655071e-05	-2.5487272677671104e-05
260.0	-2.8309774553461692e-05	-8.906826489456805e-05	-3.2209705192301115e-05	2.084192858236225e-05	7.003732634586878e-05	-2.6901886229625745e-05	8.278630938431859e-06
261.0	-4.068561702627871e-05	-5.181054534397881e-05	-3.711470965287737e-05	7.85545456372204e-06	0.00012044443122858268	-1.684768084912555e-05	0.00011190502479475198
262.0	-0.00012172742418692655	-0.00010333220355096045	-6.928021967319602e-05	3.714839659229282e-06	6.449659899951122e-05	-0.00011936761112248049	4.903058357855567e-05
263.0	-4.82708107999303e-05	1.3585326419499667e-05	-2.504085251915005e-05	-6.0464691360427975e-05	5.84597294295667e-06	-7.074481461019513e-05	-5.459581027776299e-05
264.0	-2.9307826365791102e-05	-0.000190552680908919	-4.7679334644887365e-05	-3.364479936541021e-05	-2.802967305015149e-06	-6.167954746384038e-05	-9.971404355790494e-05
265.0	9.704553307433664e-05	-3.107717002921514e-05	9.671486740311238e-06	-3.816183380667647e-05	-1.712777459071442e-05	-5.426251070772564e-05	-3.873165728571538e-05
266.0	-2.9307826365786843e-05	-2.889470946976725e-05	-4.760545614837362e-06	1.2748908541757529e-05	-3.929068397614293e-05	-8.360101165412274e-05	-4.629987706173717e-05
267.0	-1.1742114468900522e-05	2.4419684196772773e-05	5.362787286778641e-05	2.3194550687191064e-05	-2.685783236968204e-05	3.0959068728722345e-06	-4.6008791685736394e-05
268.0	1.620333627615054e-05	-7.54278863980105e-05	6.558695448025798e-06	4.728540104060904e-05	-6.929169546129855e-05	1.0018474511903482e-05	-5.3285926085760096e-05
269.0	0.00010962098590961255	-4.7289734185116945e-05	2.56127512371855e-05	-6.159394997074766e-05	-1.1722186935733664e-05	3.590375989943081e-06	2.225072898647665e-05
270.0	3.057528237360848e-05	1.756052243849705e-05	-1.647754322554732e-06	-7.401579468422676e-05	-5.739940262033452e-05	-6.777799990775036e-05	-3.9604913413717325e-05
271.0	-2.4916398391568456e-05	-0.00014893004023944155	2.363188405118525e-05	-3.223322610251736e-05	-2.7128111752433155e-05	4.908960302142247e-06	-7.919252454983221e-05
