[py] (M)	Z cut-epsilon	E cut-epsilon	HL cut-epsilon	D
374.0	13498.667286176951	7810.743310362669	7346.292704794489	1220.0972798363339
375.0	13957.66103388633	8050.73404165891	7338.313989119237	1177.9582531042695
376.0	14430.410309106717	8283.131856086356	7308.619310356502	1086.25321744204
377.0	14895.768127840702	8527.032150489435	7274.184887135168	1045.4314055357245
378.0	15362.576260753462	8774.58554658379	7242.289675723201	1013.9337113330213
379.0	15856.68832407103	9015.570223081057	7217.606590596152	911.8289354779627
380.0	16315.499420997783	9261.322848115356	7153.7462088257535	888.8427869968658
381.0	16814.22364784661	9512.952583781249	7093.590314246036	813.2135250894513
382.0	17357.942556905575	9788.796392857921	7036.058309533484	735.7012130368006
383.0	17835.064310705897	10042.629805176932	6975.610490333542	706.1558142424226
384.0	18313.421096181533	10293.178284469537	6901.9882519021985	663.6554822352279
385.0	18789.516706582785	10549.951749140035	6831.038050236467	645.5622925914868
386.0	19282.195481418425	10801.921062260986	6745.102886254423	581.924243853482
387.0	19756.777700519568	11063.10957941038	6678.656557003155	580.9791349984953
388.0	20219.639998849943	11324.326317377403	6625.535938085779	601.2220809420833
389.0	20683.035672993024	11562.543359471922	6522.3762425752375	545.364944007332
390.0	21156.575581038192	11818.803181390407	6395.378249530467	530.1939477337168
391.0	21583.407091777743	12070.67722846582	6299.166153657809	584.769740197905
392.0	22002.37321019746	12322.665399953497	6250.079194813096	653.8760832926491
393.0	22448.044200435666	12558.791342712584	6165.549274745364	623.0917558578228
394.0	22849.86162380279	12795.213251831257	6044.428538706597	672.2107708877026
395.0	23250.178158557235	13028.099590167281	5909.478264320893	712.4806756734898
396.0	23624.957310739734	13251.401990159682	5799.063526676062	767.4071425201683
397.0	23993.46229194568	13487.242145278999	5698.481435155011	874.5879631242693
398.0	24339.700027362513	13701.814756541693	5644.328192731315	952.3687603692
399.0	24684.37654577483	13895.728071240103	5531.491184382531	965.4658263467209
400.0	24961.220868657474	14092.32756497472	5392.527386832986	1109.4365911889618
401.0	25305.243836871552	14293.585389596074	5246.606783740283	1147.7045614415845
402.0	25564.469935897923	14476.941607748991	5136.433290374753	1280.122347899703
403.0	25819.41948372555	14642.323643592104	5024.929234235045	1361.516272909421
404.0	25934.933099455877	14799.056211210123	4920.855295815571	1665.6370630028991
405.0	26213.325860158075	14969.954344366075	4843.878946800629	1722.854294759449
406.0	26483.622291944288	15111.855590351783	4716.447507771974	1699.9120881795584
407.0	26527.9309537974	15238.501722931398	4567.697033322053	2033.9094119815716
408.0	26586.653976042442	15368.772117325885	4448.68169847194	2353.8013504272812
409.0	26672.21887811446	15448.920391640784	4328.177521042019	2461.628938884414
410.0	26734.95093266855	15543.327589196248	4205.7939874235	2657.1395551007613
411.0	26742.24699001306	15633.399372340273	4098.854268745575	2938.271167412166
412.0	26711.932427395986	15692.6029076209	4006.074573082233	3186.255329884709
413.0	26709.06932914696	15750.197670912394	3915.78250824448	3379.5709984062696
414.0	26601.665468647403	15769.710940581293	3781.061493800539	3636.6477993137632
415.0	26435.16609482911	15791.677187782054	3645.2307181622896	4008.1104017915777
416.0	26268.522779589715	15785.248880631525	3530.8199387840086	4287.06708976171
417.0	26132.008839259997	15792.809240000863	3436.052518431003	4557.491876414833
418.0	26005.028155563305	15766.311960521713	3313.9863766536255	4699.490495010492
419.0	25734.649995819407	15720.556986547468	3208.5801169420233	5036.689682575653
420.0	25429.26828061324	15665.109107987786	3119.4204206709082	5405.228550692275
421.0	25083.319170645573	15579.338707235409	3052.809714888892	5747.725049376055
422.0	24729.01980113465	15477.072599282013	2971.199220178624	6051.3605398119735
423.0	24387.186928919135	15385.469413983225	2863.3924588062164	6367.392103428753
424.0	23983.407482308754	15269.416236044408	2729.1291068193404	6715.049375001331
425.0	23566.723155510663	15138.13475640194	2609.81730823515	7036.184569245951
426.0	23093.34936195804	14986.803684376335	2501.8028548524817	7393.8587853330255
427.0	22623.599872915223	14814.895742974757	2438.4288159707808	7677.784621051137
428.0	22103.5026700613	14612.735938890994	2351.944919811654	7953.503506246538
429.0	21580.05363505126	14425.608258109103	2287.5890713298095	8284.365636150178
430.0	21037.16950980859	14207.294686588983	2222.6017592322596	8548.326623430745
431.0	20527.635198820688	13995.72511413441	2138.250789498338	8774.29058999989
432.0	19998.321741415108	13778.575943931917	2038.588795246854	9017.62847427839
433.0	19384.450856732183	13524.208925248715	1943.7909424545048	9291.57901666963
434.0	18741.850858227757	13236.675380451512	1809.4678881563316	9508.886923125132
435.0	18175.481617776277	12980.051350998947	1747.9503839572676	9689.96085171627
436.0	17554.30505504825	12694.009910948696	1707.228057968288	9873.581279982547
437.0	16935.063129689457	12394.021344708899	1646.3926173714988	10008.154099722962
438.0	16291.995418600207	12079.201899279915	1599.5630590422516	10137.160851467113
439.0	15684.962418049026	11770.944913477335	1521.5487963886103	10222.744679842212
440.0	15045.988857821962	11452.437437474033	1464.8157288423265	10332.333164148142
441.0	14376.044492118572	11103.994086536006	1386.5195106752974	10399.86859489971
442.0	13781.575997977834	10766.79248924586	1291.2662059048344	10368.274266006129
443.0	13165.211458160773	10434.41431794037	1280.9427616128614	10391.850952021809
444.0	12538.40460169024	10085.546251746275	1214.3058408447266	10380.35132141265
445.0	11921.351570256098	9735.61964365072	1166.0120071651381	10347.836549345933
446.0	11297.830213039164	9378.07534060775	1132.7371011563318	10302.077754295025
447.0	10719.55304798682	9028.917189914911	1076.9005529300757	10202.276973075745
448.0	10137.679485632474	8676.788870616909	1036.7742942032226	10099.24616616699
449.0	9557.476564912444	8316.534266678049	986.2683837728521	9966.659632394789
450.0	9012.328513534918	7963.021701484217	935.5306428262584	9793.000574386091
451.0	8467.303252258509	7611.38730741984	896.6498036161088	9625.256479275306
452.0	7942.37937082815	7267.189038503975	852.2634964420064	9445.623721301821
453.0	7433.219901883733	6916.241192237794	816.9674635521089	9215.56415165016
454.0	6952.016841406022	6580.275995073603	778.9158827565014	8984.131361374624
455.0	6481.644516767207	6242.261029674694	731.3406991902026	8726.506653766257
456.0	6041.012295310811	5920.017027933054	686.8092480559133	8466.873498697829
457.0	5617.764439809376	5599.455720652844	689.8500317947577	8181.44584771597
458.0	5211.749830315944	5288.891470873671	649.8592439518816	7897.658740775589
459.0	4839.516488178537	4994.416455241647	619.9982320568897	7605.628880553095
460.0	4498.921779000415	4721.2799506817	607.0210268782405	7326.362396676371
461.0	4165.437947948005	4442.648995453747	567.7379637969665	7016.345961840986
462.0	3857.989956199512	4187.360787933455	549.8452112188155	6735.725773019477
463.0	3538.7604705097724	3907.5305290584583	533.1002204340579	6396.133391516396
464.0	3249.9351212556967	3652.6309697405177	533.0009688123258	6083.262159882018
465.0	3000.30633944005	3424.3587092945677	527.143639581258	5786.828492273264
466.0	2771.1683559185026	3204.882351764176	499.0311861024239	5482.247602560258
467.0	2566.7714076071393	3006.4226201992888	491.0935921418984	5201.794166498225
468.0	2347.732365985892	2799.5010537246944	491.248677624337	4920.051683743972
469.0	2161.6020471812963	2609.3464602797676	448.8700224797519	4633.851200807669
