Wavelength / nm	1	2	3
125.0	6332.359198653754	5498.766493105156	11474.201364559278
126.0	6586.7952196417755	5602.807663947262	11616.679644718111
127.0	6848.3114349917205	5714.531043140136	11744.633237094988
128.0	7115.561585188841	5840.284015601472	11859.473899950282
129.0	7400.530167187075	5977.230649683812	11959.121891799312
130.0	7689.548055450046	6129.594620949225	12045.352013886999
131.0	7997.009875080974	6271.058090680397	12133.163672651128
132.0	8302.51846880907	6431.180469373194	12203.46028810621
133.0	8631.72939257271	6588.930920449125	12265.706152545026
134.0	8963.5200965916	6742.647096979693	12326.068587860897
135.0	9309.622644175437	6911.235722540558	12378.837739206569
136.0	9664.33989802352	7072.373644885892	12434.432149218686
137.0	10044.518410911014	7236.982815840313	12495.527892470167
138.0	10424.530779605577	7414.189829465015	12516.819045334189
139.0	10808.090812898643	7618.763447521687	12533.274412303464
140.0	11212.972988304755	7819.141924176844	12529.13988539742
141.0	11636.932522929374	8007.8423476909475	12515.74926482909
142.0	12052.496046769225	8235.572896236912	12475.40991965818
143.0	12477.77244445341	8468.855078791468	12400.329699251342
144.0	12895.812720387841	8715.413326320899	12322.315048653603
145.0	13346.34151973793	8962.58692018567	12248.916304964288
146.0	13800.69428908623	9207.354919947857	12158.269233201932
147.0	14244.669666467189	9456.468819477628	12061.480170840652
148.0	14709.44029490771	9692.787883068739	11949.489855106844
149.0	15193.737602985246	9944.430640764089	11819.784789286543
150.0	15650.788684327288	10188.893850162156	11687.85291390336
151.0	16111.357522437362	10430.042885318118	11549.644950911013
152.0	16601.55991035249	10705.598851514513	11388.345490810148
153.0	17068.766876619513	10960.27504034758	11210.164040131305
154.0	17544.469937493734	11207.820851014421	11042.52536031241
155.0	17992.32113184313	11463.680031986029	10843.348207489005
156.0	18467.33046183571	11732.641190164237	10651.121708339775
157.0	18924.35883490577	12025.132068430012	10448.46643154333
158.0	19388.057840710393	12266.450338325225	10239.2260156081
159.0	19859.28313347324	12500.59114503567	10037.153065629122
160.0	20282.40698532274	12750.70667292379	9833.686749686356
161.0	20723.71720973924	13010.220517666534	9584.468946874804
